"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Publication Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",Funding Information,PDF Link,"Author Keywords","IEEE Terms","INSPEC Controlled Terms","INSPEC Non-Controlled Terms","Mesh_Terms",Article Citation Count,Patent Citation Count,"Reference Count","License",Online Date,Issue Date,"Meeting Date","Publisher",Document Identifier
"Detecting PVC Beats by Beat-by-beat Analysis of ECG Signals Using Machine Learning Classifiers for Real-time Predictive Cardiac Health Monitoring","I. H. Tsai; B. I. Morshed","Department of Computer Science, Texas Tech University, Lubbock, TX, USA; Department of Computer Science, Texas Tech University, Lubbock, TX, USA","2022 IEEE 13th Annual Ubiquitous Computing, Electronics & Mobile Communication Conference (UEMCON)","1 Dec 2022","2022","","","0355","0361","Premature Ventricular Contraction (PVC) episodes are redundant heartbeats that disrupt the normal rhythm of the heart. The use of wearable sensors for remote heart monitoring and the implementation of trusted artificial intelligence (AI) algorithms are improvements in the field of smart health (sHealth) using cyber-physical systems (CPS) for telemedicine systems. We detect PVC beats by analyzing electrocardiogram (ECG/EKG) data and perform automatic classification to achieve high accuracy in real-time. In this study, we used a number of PVC heartbeat recordings from the MIT BIH supraventricular arrhythmia database We divided the recordings into a training dataset, which contains 39 ECG data, and a test dataset, which contains the remaining 39 ECG data. Both datasets contain approximately 80,000 samples of normal heartbeats and 7,000 samples of ventricular ectopic We extract combination of signal-specific features and signal-independent features for feature selection and ranking. We apply four algorithms, receiver operator characteristic (ROC) and the area under the ROC curve (AUC) (ROCAUC), constant, quasi constant and duplicate feature removal (Univariate) (CQCDFR), analysis of variance (ANOVA), and root mean square deviation (RMSE) to select and rank the feature. For each algorithm, it has its own selection of signal-independent features, which we combine separately with signal-specific features and test their accuracy. Then, we train the top 10 ranked combined features of each algorithm separately and check the highest performance. We explored the random forest (RF) classifier and support vector machine (SVM) classifier. Compared with other algorithms, the performance of feature selection using ANOVA algorithm before feature ranking is the lowest. The ANOVA algorithm achieved the highest accuracy after picking out the top 10 features. We further separately evaluate the sensitivity, specificity, accuracy, precision and F1 score of the top-ranked features according to the best accuracy obtained by different feature selection algorithms. The classification ANOVA algorithm from RF selects the top 7 features with 97% accuracy, 97.5 sensitivity, 98.1% specificity, 98.1 Precision%, and 95.0% F1 Score. This method can accurately monitor cardiac disease in real-time and analyze ECG beats so that patients can get accurate feedback.","","978-1-6654-9299-7","10.1109/UEMCON54665.2022.9965650","National Science Foundation; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9965650","ECG classification;Cardiac episodes;unsupervised monitoring;machine learning","Support vector machines;Machine learning algorithms;Heart beat;Electrocardiography;Feature extraction;Real-time systems;Classification algorithms","electrocardiography;feature extraction;feature selection;medical signal detection;medical signal processing;patient monitoring;random forests;signal classification;statistical analysis;support vector machines;telemedicine","analysis of variance (ANOVA);automatic classification;beat-by-beat analysis;classification ANOVA algorithm;cyber-physical systems;duplicate feature removal;ECG data;ECG signals;electrocardiogram data;F1 score;feature ranking;feature selection algorithms;machine learning classifiers;MIT BIH supraventricular arrhythmia database;normal rhythm;premature ventricular contraction episodes;PVC beats;PVC heartbeat recordings;random forest classifier;real-time predictive cardiac health monitoring;receiver operator characteristic curve;redundant heartbeats;remote heart monitoring;root mean square deviation;signal-independent features;signal-specific features;smart health;support vector machine classifier;SVM;telemedicine systems;test dataset;training dataset;trusted artificial intelligence algorithms;wearable sensors","","","","20","IEEE","1 Dec 2022","","","IEEE","IEEE Conferences"
"Markov Decision Process for Modeling Social Engineering Attacks and Finding Optimal Attack Strategies","F. Abri; J. Zheng; A. S. Namin; K. S. Jones","Department of Computer Science, San Jose State University, San Jose, CA, USA; Department of Computer Science, Stephen F. Austin State University, Nacogdoches, TX, USA; Department of Computer Science, Texas Tech University, Lubbock, TX, USA; Department of Psychological Sciences, Texas Tech University, Lubbock, TX, USA","IEEE Access","21 Oct 2022","2022","10","","109949","109968","It is important to comprehend the attacker’s behavior and capacity in order to build a stronger fortress and thus be able to protect valuable assets more effectively. Prior to launching technical and physical attacks, an attacker may enter the reconnaissance stage and gather sensitive information. To collect such valuable data, one of the most effective approaches is through conducting social engineering attacks, borrowing techniques from deception theory. As a result, it is of utmost importance to understand when an attacker behaves truthfully and when the attacker opts to be deceitful. This paper models attacker’s states using the Markov Decision Process (MDP) and studies the attacker’s decision for launching deception attacks in terms of cooperation and deception costs. The study is performed through MDP modeling, where the states of attackers are modeled along with the permissible actions that can be taken. We found that the optimal policy regarding being deceitful or truthful depends on the cost associated with deception and how much the attacker can afford to take the risk of launching deception attacks. More specifically, we observed that when the cost of cooperation is low (e.g., 10%), by taking MDP optimal policy, the attacker cooperates with the victim as much as possible in order to gain their trust; whereas, when the cost of cooperation is high (e.g., 50%), the attacker takes deceptive action earlier in order to minimize the cost of interactions while maximizing the impact of the attack. We report four case studies and simulations through which we demonstrate the trade-off between cooperative and deceptive actions in accordance with their costs to attackers.","2169-3536","","10.1109/ACCESS.2022.3213711","National Science Foundation (NSF)(grant numbers:1723765); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9915591","Attack strategy;cooperative;deceptive;Markov decision process;MDP;optimal solution;social engineering attacks","Costs;Markov processes;Game theory;Data models;Wireless sensor networks;Games;Analytical models;Social engineering (security);Optimal matching","computer network security;cooperative communication;Markov processes","deception theory;MDP optimal policy;Markov decision process;deception attacks;physical attacks;technical attacks;optimal attack strategies;social engineering attacks","","1","","24","CCBY","10 Oct 2022","","","IEEE","IEEE Journals"
"MalView: Interactive Visual Analytics for Comprehending Malware Behavior","H. N. Nguyen; F. Abri; V. Pham; M. Chatterjee; A. S. Namin; T. Dang","Department of Computer Science, Texas Tech University, Lubbock, TX, USA; Department of Computer Science, San Jose State University, San Jose, CA, USA; Department of Computer Science, Sam Houston State University, Huntsville, TX, USA; Department of Computer Science, New Jersey City University, Jersey City, NJ, USA; Department of Computer Science, Texas Tech University, Lubbock, TX, USA; Department of Computer Science, Texas Tech University, Lubbock, TX, USA","IEEE Access","30 Dec 2022","2022","10","","99909","99930","Malicious applications are usually comprehended through two major techniques, namely static and dynamic analyses. Through static analysis, a given malicious program is parsed, and some representative artifacts (e.g., control-flow graphs) are produced without any execution; whereas, the given malicious application needs to be executed when conducting dynamic analysis. These two mainstream techniques for analyzing the given software are effective in detecting certain classes of malware. More specifically, through static analysis, the patterns and signature of the malware are exposed, helping in detecting any known malicious payload hidden in or injected into the code. On the other hand, behavioral and run-time execution patterns of software are explored through dynamic analysis. To ease the analysis process, a third analysis approach, known as the visual representation of the artifacts created by both static and dynamic analysis tools, would also be a supplementary asset for malware experts. This paper introduces MalView, an interactive visualization platform, for malware analysis by which pattern matching techniques on both signature-based and behavioral analysis artifacts can be utilized to 1) classify malware, 2) identify the intention and location of the malicious payload in the artifacts, 3) analyze unknown malware (i.e., zero-day malware) by recognizing any unusual signature or behavior, and 4) explore the time dependencies and thus the system components affected or tampered by the underlying malware. The results of several case studies conducted in this work show that MalView offers more features and information compared to some other visualization tools, facilitating the malware analysis process.","2169-3536","","10.1109/ACCESS.2022.3207782","U.S. National Science Foundation (NSF)(grant numbers:1821560); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9895250","Malware analysis;dynamic analysis;malware visualization system;visual analytics","Malware;Behavioral sciences;Operating systems;Visual analytics;Static analysis;Performance analysis;Data visualization","data analysis;data visualisation;invasive software;pattern matching;program diagnostics","behavioral analysis artifacts;conducting dynamic analysis;control-flow graphs;dynamic analyses;given malicious application;given malicious program;given software;interactive visual analytics;interactive visualization platform;known malicious payload;mainstream techniques;malicious applications;MalView;malware analysis process;malware behavior;malware experts;representative artifacts;static analyses;static analysis;underlying malware;unknown malware;unusual signature;visual representation;visualization tools","","","","87","CCBY","19 Sep 2022","","","IEEE","IEEE Journals"
"Extending Range of Wireless Power Transfer Using a Novel Intermediate Passive Loop with Coils","B. I. Morshed; M. Rahman","Department of Computer Science, Texas Tech University, Lubbock, TX, USA; Department of Computer Science, Texas Tech University, Lubbock, TX, USA","2022 United States National Committee of URSI National Radio Science Meeting (USNC-URSI NRSM)","16 Sep 2022","2022","","","206","207","Wireless power transfer (WPT) suffers from limited range of separation between transmitter and receiver coils. We propose a novel method of using an intermediate passive wireless loop with multiple coils that allows large separation of WPT transmitter and receiver coils. Proof-of-concept results are presented using commercial Qi WPT systems where the transmitter and receiver coils were separated by 10 inches, while still providing almost identical voltage and current outputs.","","978-1-946815-15-6","10.23919/USNC-URSINRSM57467.2022.9881416","National Science Foundation(grant numbers:1932281); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9881416","","Coils;Wireless communication;Wearable computers;Radio transmitters;Receivers;Wireless power transfer;Voltage","coils;inductive power transmission;receivers;transmitters","Qi WPT systems;intermediate passive loop;wireless power transfer;transmitter;receiver coils;multiple coils;size 10.0 inch","","","","6","","16 Sep 2022","","","IEEE","IEEE Conferences"
"Decentralization Using Quantum Blockchain: A Theoretical Analysis","Z. Yang; T. Salman; R. Jain; R. D. Pietro","Department of Computer Science and Engineering, Washington University, St. Louis, MO, USA; Department of Computer Science, Texas Tech University, Lubbock, TX, USA; Department of Computer Science and Engineering, Washington University, St. Louis, MO, USA; College of Science and Engineering, Hamad Bin Khalifa University, Doha, Qatar","IEEE Transactions on Quantum Engineering","12 Oct 2022","2022","3","","1","16","Blockchain technology has been prominent recently due to its applications in cryptocurrency. Numerous decentralized blockchain applications have been possible due to blockchains’ nature of distributed, secured, and peer-to-peer storage. One of its technical pillars is using public-key cryptography and hash functions, which promise a secure, pseudoanonymous, and distributed storage with nonrepudiation. This security is believed to be difficult to break with classical computational powers. However, recent advances in quantum computing have raised the possibility of breaking these algorithms with quantum computers, thus, threatening the blockchains’ security. Quantum-resistant blockchains are being proposed as alternatives to resolve this issue. Some propose to replace traditional cryptography with postquantum cryptography—others base their approaches on quantum computer networks or quantum internets. Nonetheless, a new security infrastructure (e.g., access control/authentication) must be established before any of these could happen. This article provides a theoretical analysis of the quantum blockchain technologies that could be used for decentralized identity authentication. We put together a conceptual design for a quantum blockchain identity framework and give a review of the technical evidence. We investigate its essential components and feasibility, effectiveness, and limitations. Even though it currently has various limitations and challenges, we believe a decentralized perspective of quantum applications is noteworthy and likely.","2689-1808","","10.1109/TQE.2022.3207111","NPRP(grant numbers:#NPRP11S-0109-180242); Qatar National Research Fund; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9893393","Blockchains;consensus protocol;decentralized applications;identity management systems;quantum computing;quantum networks","Blockchains;Quantum computing;Cryptography;Hash functions;Authentication;Security;Peer-to-peer computing","authorisation;cryptography;Internet;peer-to-peer computing;public key cryptography;quantum computing;quantum cryptography","quantum computing;quantum computers;quantum-resistant blockchains;traditional cryptography;postquantum cryptography-others;quantum computer networks;quantum internets;security infrastructure;theoretical analysis;quantum blockchain technologies;decentralized identity authentication;quantum blockchain identity framework;decentralized perspective;quantum applications;blockchain technology;numerous decentralized blockchain applications;peer-to-peer storage;technical pillars;public-key cryptography;hash functions;classical computational powers","","1","","69","CCBY","15 Sep 2022","","","IEEE","IEEE Journals"
"Modeling and Analysis of Intermittent Federated Learning Over Cellular-Connected UAV Networks","C. -H. Liu; D. -C. Liang; R. -H. Gau; L. Wei","Department of Electrical and Computer Engineering, Mississippi State University, USA; Institute of Communications Engineering, National Yang Ming Chiao Tung University, Hsinchu, Taiwan; Institute of Communications Engineering, National Yang Ming Chiao Tung University, Hsinchu, Taiwan; Department of Computer Science, Texas Tech University, Lubbock, TX, USA","2022 IEEE 95th Vehicular Technology Conference: (VTC2022-Spring)","25 Aug 2022","2022","","","1","6","Federated learning (FL) is a promising distributed learning technique particularly suitable for wireless learning scenarios since it can accomplish a learning task without raw data transportation so as to preserve data privacy and lower network resource consumption. However, current works on FL over wireless networks do not profoundly study the fundamental performance of FL over wireless networks that suffers from communication outage due to channel impairment and network interference. To accurately exploit the performance of FL over wireless networks, this paper proposes a novel intermittent FL model over a cellular-connected Unmanned Aerial Vehicle (UAV) network, which characterizes communication outage from UAV (clients) to their server and data heterogeneity among the datasets at UAVs. We propose an analytically tractable framework to derive the uplink outage probability and use it to devise a simulation-based approach so as to evaluate the performance of the proposed intermittent FL model. Our findings reveal how the intermittent FL model is impacted by uplink communication outage and UAV deployment. Extensive numerical simulations are provided to show the consistency between the simulated and analytical performances of the proposed intermittent FL model.","2577-2465","978-1-6654-8243-1","10.1109/VTC2022-Spring54318.2022.9860913","National Science Foundation; Mississippi State University; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9860913","Federated learning;deep learning;unmanned aerial vehicle network;outage probability;point process","Analytical models;Vehicular and wireless technologies;Wireless networks;Probability;Autonomous aerial vehicles;Collaborative work;Power system reliability","autonomous aerial vehicles;cellular radio;data privacy;learning (artificial intelligence);probability;radiofrequency interference;telecommunication network reliability","intermittent federated learning;cellular-connected UAV networks;wireless learning scenarios;learning task;raw data transportation;data privacy;lower network resource consumption;wireless networks;impairment;network interference;novel intermittent FL model;cellular-connected Unmanned Aerial Vehicle network;data heterogeneity;uplink communication outage;UAV deployment;simulated performances;analytical performances","","","","12","IEEE","25 Aug 2022","","","IEEE","IEEE Conferences"
"ContextMiner: Mining Contextual Features for Conceptualizing Knowledge in Security Texts","L. F. Gutiérrez; A. Namin","Department of Computer Science, Texas Tech University, Lubbock, TX, USA; Department of Computer Science, Texas Tech University, Lubbock, TX, USA","IEEE Access","19 Aug 2022","2022","10","","85891","85904","This paper presents ContextMiner, a novel natural language processing (NLP) framework to automatically capture contextual features for the purpose of extracting meaningful context-aware phrases from cybersecurity unstructured textual data. The framework utilizes basic attributes such as part-of-speech tagging, dependency parsing, and a domain-specific grammar to extract the contextual features. The effectiveness and applications of ContextMiner are evaluated and presented from two different perspectives: qualitative and quantitative. As for the qualitative analysis, our case studies show that the proposed framework is capable of retrieving additional contents from the given texts, both in a labeled and unlabeled setting, and thus building context-aware phrases in comparison with existing approaches. From a quantitative point of view, we evaluate ContextMiner as a pre-processing step to perform named entity recognition (NER). Our results show that ContextMiner reduces the corpus up to 70% while maintaining 85% of its relevant entities, with a small drop in the classification metrics. Finally, we explored the utilization of ContextMiner in the construction and reasoning of knowledge graphs.","2169-3536","","10.1109/ACCESS.2022.3198944","U.S. National Science Foundation (NSF)(grant numbers:1723765,1821560,1564293); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9857853","Dependency parsing;feature extraction;machine learning;natural language processing;word embeddings","Feature extraction;Computer security;Data mining;Syntactics;Natural language processing;Machine learning;Tagging","data mining;grammars;information retrieval;learning (artificial intelligence);natural language processing;text analysis","ContextMiner;mining contextual features;conceptualizing knowledge;security texts;natural language processing framework;meaningful context-aware phrases;cybersecurity unstructured textual data;part-of-speech tagging;domain-specific grammar","","1","","35","CCBY","16 Aug 2022","","","IEEE","IEEE Journals"
"Vulnerability Detection in Smart Contracts Using Deep Learning","S. Gopali; Z. A. Khan; B. Chhetri; B. Karki; A. S. Namin","Department of Computer Science, Texas Tech University; Department of Computer Science, Texas Tech University; Department of Computer Science, Texas Tech University; Department of Computer Science, Texas Tech University; Department of Computer Science, Texas Tech University","2022 IEEE 46th Annual Computers, Software, and Applications Conference (COMPSAC)","10 Aug 2022","2022","","","1249","1255","Various decentralized applications have deployed millions of smart contracts (SCs) on the Blockchain networks. SCs enable programmable transactions involving the transfer of monetary assets between peers on a Blockchain network without any need to a central authority. However, similar to any software program, SCs may contain security issues. Software se-curity engineers and researchers have already uncovered several Ethereum BlockChain and SC vulnerabilities. Still, researchers continuously discover many more security flaws in deployed SCs. Indeed, the popularity of SCs attracts adversaries to launch new attack vectors. Thus, efficient vulnerability detection is necessary. This paper lists broad known vulnerabilities in SCs and classifies them based on the multi-class categories such as Suicidal, Prodigal, Greedy, and Normal SCs. The paper adopts artificial recurrent neural network architecture such as Long Short-Term Memory (LSTM) and Temporal Convolutional Network (TCN) used in deep learning to identify and then classify vulnerable Scs.","0730-3157","978-1-6654-8810-5","10.1109/COMPSAC54236.2022.00197","National Science Foundation(grant numbers:1723765,1821560); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9842527","Temporal Convolutional Network (TCN);Long Short-Term Memory LSTM;Smart Contracts (SC)","Deep learning;Recurrent neural networks;Conferences;Smart contracts;Computer architecture;Decentralized applications;Software","blockchains;contracts;learning (artificial intelligence);pattern classification;recurrent neural nets","smart contracts;deep learning;decentralized applications;Blockchain network;programmable transactions;monetary assets;central authority;software program;security issues;software se-curity engineers;security flaws;efficient vulnerability detection;broad known vulnerabilities;artificial recurrent neural network architecture;Temporal Convolutional Network","","1","","54","IEEE","10 Aug 2022","","","IEEE","IEEE Conferences"
"CSDLEEG: Identifying Confused Students Based on EEG Using Multi-View Deep Learning","H. Abu-gellban; Y. Zhuang; L. Nguyen; Z. Zhang; E. Imhmed","Department of Computer Science, Texas Tech University; Department of Computer Science, Texas Tech University; Computer Science and Data Science, Meharry Medical College; Computer Science Division, Clemson University; Department of Computer Science, New Mexico State University","2022 IEEE 46th Annual Computers, Software, and Applications Conference (COMPSAC)","10 Aug 2022","2022","","","1217","1222","Distance learning has dramatically increased in recent years because of advanced technology. In addition, numerous universities had to offer courses in online mode in 2020 and 2021 because of the COVID-19 pandemic. However, there are more challenges in distance learning than in the traditional learning method (e.g., feedback and interaction). Recently, researchers started using simple EEG headsets to identify confused students during online courses based on machine learning approaches. However, they faced unpleasant accuracy using traditional machine learning algorithms or nondeep neural networks. In this paper, we present a data-driven approach based on a multi-view deep learning technique called CSDLEEG to identify confused students. We employ the students' demographic information and EEG signals to feed our novel neural networks. The results show that our proposed approach is superior to state-of-the-art methods for 98% accuracy and 98% F1-score.","0730-3157","978-1-6654-8810-5","10.1109/COMPSAC54236.2022.00192","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9842723","Distance Learning;Massive Open Online Courses (MOOC);Deep Learning;Multi-View;Confused Stu-dents","Deep learning;Learning systems;Headphones;Computer aided instruction;Machine learning algorithms;Pandemics;Neural networks","computer aided instruction;distance learning;electroencephalography;learning (artificial intelligence);neural nets","CSDLEEG;identifying confused students;EEG using multiview deep learning;distance learning;numerous universities;online mode;COVID-19 pandemic;traditional learning method;feedback;simple EEG headsets;online courses;machine learning approaches;nondeep neural networks;data-driven approach;deep learning technique","","","","30","IEEE","10 Aug 2022","","","IEEE","IEEE Conferences"
"Conceptual Mappings of Conventional Software and Machine Learning-based Applications Development","S. Angel; A. S. Namin","Department of Computer Science, Texas Tech University; Department of Computer Science, Texas Tech University","2022 IEEE 46th Annual Computers, Software, and Applications Conference (COMPSAC)","10 Aug 2022","2022","","","1223","1230","This paper presents two concept models to compare and contrast conventional software development life cycle(SDLC) and the development of smart applications where Artificial Intelligence/Machine Learning (AI/ML) modules are integrated into the software products. The first concept model illustrates the intersections and differences between SDLC and AI/ML-based application development; whereas, the second concept model depicts the processes/concepts involved in data preprocessing stage of AI/ML-based application development. The concept models show that while there are some similarities between SDLC and AI/ML-based application development; AI/ML-based development follows its own unique features and challenges that need development of further software engineering techniques.","0730-3157","978-1-6654-8810-5","10.1109/COMPSAC54236.2022.00193","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9842719","Software Development Life cycle (SDLC);Machine Learning Applications;Concept Map","Uncertainty;Data preprocessing;Machine learning;Learning (artificial intelligence);Software;Data models;Software measurement","learning (artificial intelligence);software engineering","conceptual mappings;machine learning-based applications development;software development life cycle;artificial intelligence-machine learning modules;AI-ML-based application development;SDLC;data preprocessing stage","","","","8","IEEE","10 Aug 2022","","","IEEE","IEEE Conferences"
"Active Crowdsourcing for Multilabel Annotation","J. Zhang; M. Wu; C. Zhou; V. S. Sheng","School of Cyber Science and Engineering, Southeast University, Nanjing, China; School of Computer Science and Engineering, Nanjing University of Science and Technology, Nanjing, China; School of Computer Science and Engineering, Nanjing University of Science and Technology, Nanjing, China; Department of Computer Science, Texas Tech University, Lubbock, TX, USA","IEEE Transactions on Neural Networks and Learning Systems","","2022","PP","99","1","11","Multilabel annotation is a critical step to generate training sets when learning classification models in various application domains, but asking domain experts to provide labels is usually time-consuming and expensive, which cannot meet the current requirement of the fast evolution of the models in the big data era. Although crowdsourcing provides a fast solution to acquire labels for multilabel learning, it faces the risk of high data acquisition cost and low label quality. This article proposes a novel one-coin label-dependent active crowdsourcing (OCLDAC) method to iteratively query noisy labels from crowd workers and learn multilabel classification models. In each iteration of active learning, integrated labels of instances are first inferred by a novel one-coin label-dependent model, which utilizes a mixture of multiple independent Bernoulli distributions to explore and exploit correlations among the labels to increase the accuracy of truth inference. Then, instances, labels, and workers are selected according to the novel strategies that incorporate the distribution of noisy labels, the prediction probability of learning models, label correlations, and the reliability of crowd workers. Simulations on eight multilabel datasets and evaluation on one real-world crowdsourcing dataset consistently show that the proposed OCLDAC significantly outperforms the state-of-the-art methods and their variants.","2162-2388","","10.1109/TNNLS.2022.3194022","National Key Research and Development Program of China(grant numbers:2018AAA0102002); National Natural Science Foundation of China(grant numbers:62076130,91846104,61902186); Open Research Projects of Zhejiang Lab(grant numbers:2019KD0AD01/015); Fundamental Research Funds for the Central Universities; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9848427","Active learning;crowdsourcing learning;multilabel classification;truth inference","Crowdsourcing;Predictive models;Correlation;Annotations;Task analysis;Uncertainty;Training","","","","","","","IEEE","2 Aug 2022","","","IEEE","IEEE Early Access Articles"
"Neural Network Modeling Attacks on Arbiter-PUF-Based Designs","N. Wisiol; B. Thapaliya; K. T. Mursi; J. -P. Seifert; Y. Zhuang","Security in Telecommunications, Technische Universität Berlin, Berlin, Germany; Department of Computer Science, Texas Tech University, Lubbock, TX, USA; Department of Cybersecurity, College of Computer Science and Engineering, University of Jeddah, Jeddah, Saudi Arabia; Security in Telecommunications, Technische Universität Berlin, Berlin, Germany; Department of Computer Science, Texas Tech University, Lubbock, TX, USA","IEEE Transactions on Information Forensics and Security","1 Aug 2022","2022","17","","2719","2731","By revisiting, improving, and extending recent neural-network based modeling attacks on XOR Arbiter PUFs from the literature, we show that XOR Arbiter PUFs, (XOR) Feed-Forward Arbiter PUFs, and Interpose PUFs can be attacked faster, up to larger security parameters, and with an order of magnitude fewer challenge-response pairs than previously known both in simulation and in silicon data. To support our claim, we discuss the differences and similarities of recently proposed modeling attacks and offer a fair comparison of the performance of these attacks by implementing all of them using the popular machine learning framework Keras and comparing their performance against the well-studied Logistic Regression attack. Our findings show that neural-network-based modeling attacks have the potential to outperform traditional modeling attacks on PUFs and must hence become part of the standard toolbox for PUF security analysis; the code and discussion in this paper can serve as a basis for the extension of our results to PUF designs beyond the scope of this work.","1556-6021","","10.1109/TIFS.2022.3189533","National Science Foundation(grant numbers:2103563); German Ministry for Education and Research as BBDC 2(grant numbers:01IS18025A); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9819893","Physical unclonable function;strong PUFs;machine learning;modeling attacks;arbiter PUF","Security;Data models;Analytical models;Cryptography;Neural networks;Machine learning;Predictive models","asynchronous circuits;copy protection;cryptography;feedforward neural nets;learning (artificial intelligence);logic design;regression analysis","neural network modeling attacks;XOR arbiter PUF;interpose PUF;challenge-response pairs;neural-network-based modeling attacks;PUF security analysis;logistic regression attack;neural-network based modeling attacks;arbiter-PUF-based designs;feed-forward arbiter PUF;machine learning framework Keras","","3","","37","IEEE","7 Jul 2022","","","IEEE","IEEE Journals"
"Automatic Detection of Situational Context Using AI from Minimal Sensor Modality","N. Mitra; B. I. Morshed","Department of Computer Science, Texas Tech University, Lubbock, TX, USA; Department of Computer Science, Texas Tech University, Lubbock, TX, USA","2022 IEEE International Conference on Electro Information Technology (eIT)","7 Jul 2022","2022","","","358","362","There is a vast improvement in the sector of human healthcare and education delivery using artificial intelligence (AI) such as recommender system. For this purpose, many modern technology are being used like smart wearable device to make the diagnosis of different types of human disease and automated tutoring systems. For these AI algorithms, there can be high error rates if situational contexts are ignored. Currently there is no automated approach to detect situational context. In this work, we propose a novel approach to automatically detect situational context using clustering algorithm type AI from minimal sensor modality. We begin the process by converting a few sensor data to a multitude of axes, then determine situational context from these axes by using clustering algorithm. Here, we evaluated the machine learning Clustering algorithm performance on the simulated data and compared the characteristics of their performance. The results show 89.4% accuracy for Seven situational contexts and 89.8% accuracy for eight situational contexts. This preliminary work shows the feasibility of detecting situational context automatically from a few sensor data by converting the sensor data to multiple axes and applying clustering algorithm.","2154-0373","978-1-6654-8009-3","10.1109/eIT53891.2022.9813854","National Science Foundation; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9813854","KMEANS algorithm;machine learning;situational context detection","Machine learning algorithms;Error analysis;Wearable computers;Clustering algorithms;Medical services;Machine learning;Artificial intelligence","behavioural sciences computing;diseases;intelligent tutoring systems;learning (artificial intelligence);medical diagnostic computing;pattern clustering;recommender systems","situational context;minimal sensor modality;sensor data;situational contexts;human healthcare;education delivery;artificial intelligence;recommender system;human disease;automated tutoring systems;clustering algorithm type AI","","","","12","IEEE","7 Jul 2022","","","IEEE","IEEE Conferences"
"Beat-by-beat Classification of ECG Signals with Machine Learning Algorithm for Cardiac Episodes","I. H. Tsai; B. I. Morshed","Department of Computer Science, Texas Tech University, Lubbock, TX, USA; Department of Computer Science, Texas Tech University, Lubbock, TX, USA","2022 IEEE International Conference on Electro Information Technology (eIT)","7 Jul 2022","2022","","","311","314","Heart failure (HF) is a common clinical syndrome of cardiac episode leading to a variety of cardiac diseases. Detecting these cardiac episodes from electrocardiogram (ECG or EKG) data and classifying these large data automatically with high accuracy in real-time is critical for useful application of wearables targeting cardiac disease monitoring. With this motivation, in this study, we used the BIDMC Congestive Heart Failure (CHF) datasets (from PhysioNet database). A total of 15 patient records was analyzed, which have NYHA Class level III and IV patients from the database. Simultaneous measurements of the 2 leads of ECG were stored in the record. The captured data was sampled at 250 Hz. The extracted features were for three categories: temporal, spectral, and statistical. In total, we extracted 28 features out of which 7 were of amplitude types, 6 were based on frequency, and the remaining 15 were statistical features. Machine learning models explored include SVM, KNN, ensemble tree, neural network, decision tree, naive bayes, and logistic regression. We evaluated different model performance in each patient data and combined patient data. In our analysis, neural network was the best performer in terms of accuracy for cardiac patients. We further studied neural network to test sensitivity, specificity, accuracy, precision, f1-score to evaluate the best performer statistics. Neural network has 99.5% overall accuracy for interpatient data classification, and was also among the best performers. In interpatient classification, the performance was: sensitivity 99.80%, specificity 99.0%. accuracy 99.42%, precision 99.80%, and F1 score 99.64%. Accurate detection of ECG beat classes using this approach can allow real-time cardiac disease monitoring.","2154-0373","978-1-6654-8009-3","10.1109/eIT53891.2022.9813902","National Science Foundation; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9813902","Cardiac episodes;ECG classification;machine learning;unsupervised monitoring","Training;Sensitivity;Neural networks;Cardiac disease;Electrocardiography;Feature extraction;Real-time systems","decision trees;diseases;electrocardiography;feature extraction;medical signal detection;medical signal processing;naive Bayes methods;nearest neighbour methods;neural nets;patient monitoring;regression analysis;signal classification;signal sampling;support vector machines","cardiac episode;clinical syndrome;patient records;statistical features;machine learning models;neural network;model performance;combined patient data;cardiac patients;f1-score;performer statistics;interpatient data classification;ECG beat classes;real-time cardiac disease monitoring;beat-by-beat classification;ECG signals;BIDMC congestive heart failure datasets;heart failure;PhysioNet database;NYHA Class level III patients;NYHA Class level IV patients;extracted features;SVM;KNN;ensemble tree;decision tree;Naive Bayes;logistic regression;frequency 250.0 Hz","","","","13","IEEE","7 Jul 2022","","","IEEE","IEEE Conferences"
